Localidad,Rolando Figueroa,Marcos Koopmann Irizar,Ramón Rioseco,Mario Pablo Cervi,Carlos Eguía,Patricia Jure,Departamento
Huinganco,444,194,70,9,-,14,Minas
Andacollo,788,959,83,24,23,0,Minas
Los Miches,262,295,33,0,0,0,Minas
Villa del Nahueve,94,214,6,0,3,-,Minas
Las Ovejas,485,597,15,11,9,0,Minas
Manzano Amargo,189,303,6,0,2,0,Minas
Varvarco-Invernada Vieja,186,232,13,0,4,2,Minas
Guañacos,171,172,2,0,-,0,Minas
Colipilli,72,154,30,3,0,1,Ñorquín
El Huecu,434,525,55,4,0,9,Ñorquín
El Cholar,308,378,32,0,3,1,Ñorquín
Taquimilán,295,402,47,0,7,3,Ñorquín
Naunauco,12,15,2,0,0,0,Ñorquín
Tralaitue,22,22,0,0,0,0,Ñorquín
Caviahue-Copahue,376,280,71,12,9,4,Ñorquín
Coyuco-Cochico,22,108,1,0,1,0,Chos Malal
Cajón del Curí Leuvú,6,8,2,0,0,1,Chos Malal
Villa Curí Leuvú,270,176,16,2,1,0,Chos Malal
Chapua,36,16,6,0,1,1,Chos Malal
Chos Malal Fuera de Radio,52,41,13,1,5,4,Chos Malal
Chos Malal,4609,2713,577,98,201,153,Chos Malal
Chorriaca,144,169,5,0,1,3,Loncopué
Huncal,95,195,27,4,2,4,Loncopué
Quintuco,16,27,5,0,0,1,Loncopué
Huarenchenque,43,45,23,0,2,1,Loncopué
Cajón De Almaza,6,30,2,0,0,0,Loncopué
Loncopué,1688,1688,268,39,48,28,Loncopué
Buta Ranquil,645,1064,132,13,35,0,Pehuenches
Barrancas,512,358,9,0,6,3,Pehuenches
Huantraico,3,32,1,0,0,1,Pehuenches
Rincón De Los Sauces,3437,6233,2151,195,516,0,Pehuenches
Octavio Pico,44,53,1,0,0,0,Pehuenches